Biosensor 2 Term,Biosensor Term,Micro Term,Molecular Motor Term,Nano Term,Quantum Term,Quasi Term,Self Term,exclusion,id,measure_exclusion,selection
False,False,False,True,True,False,False,False,False,9221064,False,True
False,False,True,False,False,False,False,False,False,9221099,False,True
False,False,True,False,False,False,False,False,False,9221130,False,True
False,False,True,False,False,False,False,False,False,9221214,False,True
False,False,True,False,False,False,False,False,False,9221675,False,True
False,False,True,False,False,False,False,False,False,9221683,False,True
False,False,True,False,False,False,False,False,False,9221691,False,True
False,False,True,False,False,False,False,False,False,9221707,False,True
False,False,False,True,False,False,False,False,False,9221733,False,True
False,False,False,True,False,False,False,False,False,9221746,False,True
False,False,False,False,True,False,False,False,False,9221752,False,True
False,False,False,False,True,False,False,False,False,9221888,False,True
False,False,False,False,True,False,False,False,False,9221919,False,True
False,False,False,False,True,False,False,False,False,9221970,False,True
False,True,True,False,False,False,False,False,False,9221978,False,True
False,False,True,False,False,False,False,False,False,9221979,False,True
False,False,False,False,True,False,False,False,False,9221990,False,True
False,True,False,False,False,False,False,False,False,9221991,False,True
False,False,True,False,False,False,False,False,False,9222004,False,True
False,False,False,False,True,False,False,False,False,9222130,False,True
False,True,False,False,False,False,False,False,False,9222133,False,True
False,False,True,False,True,False,False,False,False,9222169,False,True
False,False,False,False,True,False,False,False,False,9222174,False,True
False,False,False,False,True,False,False,False,False,9222185,False,True
False,False,False,False,True,False,False,False,False,9222190,False,True
False,True,False,False,False,False,False,False,False,9222198,False,True
False,False,True,False,False,False,False,False,False,9222708,False,True
False,False,False,False,True,False,False,False,False,9222884,False,True
False,False,False,False,True,False,False,False,False,9222905,False,True
False,False,False,False,True,False,False,False,False,9222930,False,True
False,True,False,False,False,False,False,False,False,9222938,False,True
False,False,False,False,True,False,False,False,False,9222959,False,True
False,False,True,False,False,False,False,False,False,9223037,False,True
False,False,True,False,False,False,False,False,False,9223088,False,True
False,False,True,False,False,True,False,False,False,9223234,False,True
False,False,False,False,False,True,False,False,False,9223442,False,True
False,False,False,False,True,False,False,False,False,9224412,False,True
False,False,True,False,False,False,False,False,False,9224429,False,True
False,False,True,False,False,False,False,False,False,9224458,False,True
False,False,True,False,False,False,False,False,False,9224469,False,True
False,False,True,False,False,False,False,False,False,9224478,False,True
False,False,True,False,False,False,False,False,False,9224488,False,True
False,False,True,False,False,False,False,False,False,9224513,False,True
False,False,False,True,False,False,False,False,False,9224518,False,True
False,False,False,False,True,False,False,False,False,9224537,False,True
False,False,True,False,False,False,False,False,False,9224595,False,True
False,False,True,False,False,False,False,False,False,9224597,False,True
