,patent_id
2699,9348228
2701,9348464
2703,9349442
2704,9349453
2705,9349463
2709,9349593
2710,9349597
2711,9349600
2713,9349644
2714,9349678
2716,9349685
2718,9349694
2719,9349719
2720,9349722
2722,9349738
2723,9349743
2724,9349750
2725,9349750
2726,9349751
2727,9349752
2728,9349759
2729,9349760
2731,9349794
2732,9349796
2735,9349811
2736,9349816
2737,9349826
2738,9349843
2739,9349844
2740,9349847
2741,9349849
2742,9349853
2743,9349855
2745,9349860
2746,9349869
2747,9349870
2748,9349871
2749,9349874
2750,9349875
2751,9349876
2752,9349889
2753,9349900
2754,9349910
2756,9349940
2757,9349942
2758,9349946
2759,9349951
2760,9349951
2762,9349962
2763,9349965
2765,9349975
2767,9350028
2768,9350028
2769,9350140
2770,9350369
2771,9350372
2772,9351423
2773,9351910
2774,9351933
2778,9352283
2779,9352302
2780,9352315
2782,9352512
2783,9352513
2785,9352955
2788,9352969
2789,9353037
2791,9353122
2792,9353123
2794,9353240
2795,9353250
2796,9353258
2797,9353272
2798,9353276
2801,9353434
2802,9353443
2803,9353445
2805,9353449
2807,9353461
2808,9353740
2810,9354332
2811,9354348
2813,9354394
2814,9354465
2815,9354480
2816,9354509
2817,9354510
2818,9355631
2819,9355714
2820,9355719
2821,9355722
2822,9355727
2823,9355731
2826,9355825
2827,9355825
2828,9355828
2830,9355842
2831,9355844
2833,9355846
2834,9355848
2835,9355849
2836,9355861
2837,9355890
2838,9355900
2841,9355915
2842,9355916
2843,9355930
2844,9355933
2845,9355943
2846,9355955
2847,9355971
2848,9355987
2851,9356030
2852,9356032
2853,9356037
2854,9356040
2855,9356052
2856,9356058
2858,9356093
2859,9356098
2861,9356106
2862,9356110
2863,9356111
2864,9356120
2865,9356123
2866,9356138
2869,9356161
2872,9356171
2874,9356204
2875,9356217
2879,9356281
2880,9356287
2882,9356429
2884,9356601
2885,9357186
2888,9358215
2889,9358307
2890,9358308
2891,9358310
2894,9358581
2897,9359189
2898,9359202
2899,9359206
2900,9359206
2903,9359210
2905,9359212
2906,9359222
2908,9359249
2910,9359265
2911,9359334
2912,9359396
2914,9359484
2915,9359494
2916,9359504
2917,9359504
2918,9359511
